,Session,Trial,Time-to-Target,Target,Success,Stim Paradigm,Path Efficiency,Shortest Distance,ToD,Average Speed,Total Distance,AD,Target Crosses,Tuning Width
141,2,12,5.503124475,"[[235, 159], b'A']",0,Bright Visual Only,0.269488473,16.07778513,1.48302861,11.24369391,59.66038166,0.019726862,0,Narrow
142,2,13,5.507586479,"[[351, 276], b'E']",0,Combined,0.167980419,17.19127996,0.925166684,12.17847713,102.3409756,0.105291395,0,Narrow
143,2,14,5.502520561,"[[468, 276], b'H']",0,Sham,0.1101723,6.598662946,0.606225348,11.37150199,59.89402889,0.07737266,0,Narrow
144,2,15,3.496535419,"[[468, 391], b'I']",1,Dim Visual Only,0.089324882,2.743065109,0.312327615,9.175714578,30.70885776,0.256055372,0,Narrow
145,2,16,0.944931923,"[[468, 276], b'H']",1,Combined,0.550422869,4.930110973,0.52011214,12.33665763,8.956951564,0.628270966,0,Narrow
146,2,17,5.511422396,"[[235, 159], b'A']",0,Combined,0.414348518,18.35778946,2.283649703,8.288395809,44.30518911,0.122649264,0,Narrow
147,2,18,5.511640549,"[[235, 276], b'B']",0,Combined,0.27125886,15.55292558,1.495081334,10.50492537,57.3361016,0.146898878,0,Narrow
148,2,19,5.513281345,"[[351, 276], b'E']",0,Combined,0.211899193,10.76209164,1.168259867,9.286306738,50.78873357,0.085681908,0,Narrow
149,2,20,5.406794427,"[[351, 276], b'E']",1,Combined,0.123593934,7.721155392,0.668246992,12.49271345,62.47196085,0.097906923,2,Narrow
150,2,21,5.505911112,"[[351, 159], b'D']",0,Combined,0.280910872,12.73262567,1.546670293,8.291504139,45.32621173,0.200446786,0,Narrow
151,2,22,0.603394626,"[[468, 276], b'H']",1,Combined,0.895089494,5.56251125,0.54009219,15.88096311,6.214474965,0.885717451,0,Narrow
152,2,23,5.509348154,"[[235, 391], b'C']",0,Combined,0.839773956,17.19354508,4.626607097,3.833246086,20.47401559,0.171453752,0,Narrow
153,2,24,5.50039649,"[[468, 391], b'I']",0,Dim Visual Only,0.085218256,5.41895166,0.468734196,12.01517056,63.5890936,0.236056066,0,Narrow
